date,secs
9/1/15,420.2
9/5/15,427
9/6/15,449.8
9/7/15,383.5
9/10/15,463.6
9/14/15,471.6
9/16/15,416.2
9/21/15,396.5
9/22/15,468.7
9/23/15,386
9/24/15,387.8
9/26/15,406.5
9/28/15,369.8
9/29/15,362
9/30/15,361
